1 2 3 4 5 6 7 8 9 10 Total time (s): 0.000153
3 5 2 9 1 10 8 4 7 6 Total time (s): 0.000065
1 2 3 4 5 6 7 8 9 10 Total time (s): 0.000049
1 2 3 4 5 6 7 8 9 10 Total time (s): 0.000079
1 2 3 4 5 6 7 8 9 10 Total time (s): 0.000072
1 2 3 4 5 6 7 8 9 10 Total time (s): 0.000157
1 2 3 4 5 6 7 8 9 10 Total time (s): 0.000151
1 2 3 4 5 6 7 8 9 10 Total time (s): 0.008156
1 2 3 4 5 6 7 8 9 10 Total time (s): 0.000144
1 2 3 4 5 6 7 8 9 10 Total time (s): 0.000163
1 2 3 4 5 6 7 8 9 10 Total time (s): 0.000237
1 2 3 4 5 6 7 8 9 10 Total time (s): 0.000253
1 2 3 4 5 6 7 8 9 10 Total time (s): 0.000334
