27
12 66
3 6 82
2 10 78
1 4 18
2 12 40
3 12 16
6 11 24
4 11 7
7 11 52
2 3 72
1 3 49
5 6 99
5 7 24
2 4 66
9 12 64
5 8 1
2 8 43
4 10 33
8 12 46
1 7 62
5 10 96
1 9 14
3 10 49
4 5 75
3 11 38
10 12 39
1 8 37
1 11 47
5 11 19
3 8 74
1 12 40
8 10 80
8 11 66
3 4 14
3 9 76
4 6 65
9 10 96
7 12 17
6 8 46
2 11 81
4 9 64
10 11 62
2 7 74
1 6 68
6 10 78
7 8 70
6 9 24
3 5 24
11 12 28
9 11 93
6 12 5
1 10 65
3 7 26
1 5 47
4 12 1
2 6 58
2 5 88
2 9 71
4 7 65
4 8 45
8 9 8
7 10 82
6 7 54
5 9 92
7 9 90
1 2 27
5 12 80
8
